"id";"descricao";"interesse"
"2031";"Pesquisadores das ciências naturais e exatas";"1"
"2122";"Engenheiros em computação";"1"
"2123";"Administradores de tecnologia da informação";"1"
"2124";"Analistas de tecnologia da informação";"1"
"2341";"Professores de matemática, estatística e informática do ensino superior";"1"
"2534";"Profissionais de mídias digitais e afins";"1"
"2622";"Diretores de espetáculos e afins";"1"
"3133";"Técnicos em telecomunicações";"1"
"3171";"Técnicos de desenvolvimento de sistemas e aplicações";"1"
"3172";"Técnicos de suporte e monitoração ao usuário de tecnologia da informação.";"1"
"3713";"Técnicos em artes gráficas";"1"
"4151";"Auxiliares de serviços de documentação, informação e pesquisa";"1"
"7311";"Montadores de equipamentos eletroeletrônicos";"1"
"7321";"Instaladores e reparadores de linhas e cabos elétricos, telefônicos e de comunicação de dados";"1"
"7661";"Trabalhadores da pré-impressão gráfica";"1"
"7662";"Trabalhadores da impressão gráfica";"1"
